City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Lompoc,US,34.6391,-120.4579,51.78,73,0,5.75,clear sky
79,Hasaki,JP,35.7333,140.8333,57.6,46,0,22.21,clear sky
80,Rocha,UY,-34.4833,-54.3333,51.57,77,0,5.46,clear sky
81,Newport,GB,51.5877,-2.9984,32.54,80,100,14.7,overcast clouds
82,Magalia,US,39.8121,-121.5783,39.11,82,18,1.99,few clouds
83,Laguna,US,38.421,-121.4238,48.06,72,0,4.61,clear sky
84,Mareeba,AU,-17.0,145.4333,89.44,62,77,5.46,broken clouds
85,Chokurdakh,RU,70.6333,147.9167,-16.47,94,100,11.65,overcast clouds
86,Qaanaaq,GL,77.484,-69.3632,2.17,89,100,4.85,overcast clouds
87,Mogadishu,SO,2.0371,45.3438,78.64,77,57,13.82,broken clouds
88,Kyshtovka,RU,56.555,76.6271,-23.24,100,33,3.71,scattered clouds
89,Rudbar,AF,30.15,62.6,46.17,51,0,2.8,clear sky
90,Paracuru,BR,-3.41,-39.0306,81.1,80,52,9.28,broken clouds
91,Hofn,IS,64.2539,-15.2082,22.51,59,64,14.83,broken clouds
92,Vanimo,PG,-2.6741,141.3028,84.88,70,100,5.99,overcast clouds
93,Kisangani,CD,0.5167,25.2,64.54,99,90,0.92,overcast clouds
94,Boyolangu,ID,-8.1181,111.8935,82.38,75,100,4.05,overcast clouds
95,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,83,63,22.17,light rain
96,Faanui,PF,-16.4833,-151.75,80.28,75,100,14.92,overcast clouds
97,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,16.39,86,100,4.47,light shower snow
98,Alamosa,US,37.4695,-105.87,21.18,58,100,8.05,overcast clouds
99,Port Elizabeth,ZA,-33.918,25.5701,68.31,92,0,12.66,light rain
100,Tura,IN,25.5198,90.2201,64.47,74,11,2.01,few clouds
101,Esperance,AU,-33.8667,121.9,66.52,53,89,16.78,overcast clouds
102,Raudeberg,NO,61.9875,5.1352,26.87,45,100,5.35,snow
103,Port Alfred,ZA,-33.5906,26.891,65.17,98,89,1.01,light rain
104,Batemans Bay,AU,-35.7167,150.1833,65.1,34,88,5.14,light rain
105,Tiksi,RU,71.6872,128.8694,-20.72,93,100,15.23,overcast clouds
106,Fort Nelson,CA,58.8053,-122.7002,6.94,95,0,4.61,clear sky
107,Totness,SR,5.8833,-56.3167,78.31,81,92,10.89,overcast clouds
108,Marsaxlokk,MT,35.8419,14.5431,67.08,82,0,5.75,clear sky
109,Puerto Ayora,EC,-0.7393,-90.3518,70.56,96,44,1.01,scattered clouds
110,Paamiut,GL,61.994,-49.6678,15.21,73,4,8.99,clear sky
111,Norman Wells,CA,65.282,-126.8329,-0.36,85,20,4.61,few clouds
112,Balagansk,RU,54.0103,103.0544,-11.04,96,24,2.48,few clouds
113,Valdivia,CL,-39.8142,-73.2459,60.89,96,100,1.3,light rain
114,Aykhal,RU,66.0,111.5,-2.27,100,100,3.44,light snow
115,Bredasdorp,ZA,-34.5322,20.0403,66.18,89,29,2.08,scattered clouds
116,Sitka,US,57.0531,-135.33,34.92,97,100,6.85,light snow
117,Saint-Augustin,CA,51.226,-58.6502,36.28,84,100,32.26,overcast clouds
118,Richards Bay,ZA,-28.783,32.0377,73.74,87,94,11.16,overcast clouds
119,Saint-Cyr-Sur-Loire,FR,47.4,0.6667,32.63,100,100,6.91,light rain
120,Manuk Mangkaw,PH,4.8,119.85,79.95,83,100,9.55,moderate rain
121,Hilo,US,19.7297,-155.09,77.25,93,90,3.0,overcast clouds
122,Ta Khmau,KH,11.4833,104.95,75.25,69,20,11.5,few clouds
123,Lata,PT,40.1629,-8.3327,56.91,94,100,5.64,overcast clouds
124,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,95,0,10.36,clear sky
125,Hamilton,US,39.1834,-84.5333,41.94,75,100,3.0,overcast clouds
126,Lodwar,KE,3.1191,35.5973,82.67,43,100,9.01,overcast clouds
127,Kumbo,CM,6.2,10.6667,58.03,39,3,4.09,clear sky
128,Papara,BR,-3.9839,-38.7273,81.0,89,49,2.98,scattered clouds
129,Bethel,US,41.3712,-73.414,34.16,70,0,3.44,clear sky
130,Mayumba,GA,-3.432,10.6554,76.33,85,100,3.04,overcast clouds
131,Ballina,AU,-28.8667,153.5667,85.01,44,58,2.1,broken clouds
132,Elk City,US,35.412,-99.4043,46.62,42,0,11.5,clear sky
133,Goderich,CA,43.7501,-81.7165,22.91,86,92,5.75,overcast clouds
134,Airai,TL,-8.9266,125.4092,76.62,50,95,1.86,overcast clouds
135,Carnarvon,AU,-24.8667,113.6333,76.23,64,0,12.62,clear sky
136,Cidreira,BR,-30.1811,-50.2056,66.81,62,0,5.75,clear sky
137,Chistogorskiy,RU,53.9835,87.3843,-7.73,100,79,1.7,broken clouds
138,Cabo San Lucas,MX,22.8909,-109.9124,72.52,74,90,1.01,overcast clouds
139,Luderitz,NA,-26.6481,15.1594,63.61,94,70,5.77,broken clouds
140,Avarua,CK,-21.2078,-159.775,80.65,74,75,21.85,light rain
141,San Ramon,US,37.7799,-121.978,50.13,75,0,5.75,clear sky
142,Peruibe,BR,-24.32,-46.9983,68.63,82,56,4.9,broken clouds
143,Killybegs,IE,54.6333,-8.45,35.24,75,3,9.42,clear sky
144,Severo-Kurilsk,RU,50.6789,156.125,35.38,86,100,39.66,overcast clouds
145,Lagoa,PT,39.05,-27.9833,58.21,69,100,28.57,light rain
146,Zhigansk,RU,66.7697,123.3711,-40.2,98,100,10.16,overcast clouds
147,Khani,GE,41.9563,42.9566,40.57,77,100,6.33,overcast clouds
148,Sorong,ID,-0.8833,131.25,83.07,72,100,3.0,overcast clouds
149,Huarmey,PE,-10.0681,-78.1522,68.88,83,100,1.7,overcast clouds
150,Kahului,US,20.8947,-156.47,77.97,80,16,10.0,few clouds
151,Iquique,CL,-20.2208,-70.1431,71.64,72,13,2.89,few clouds
152,Atuona,PF,-9.8,-139.0333,77.94,80,42,16.67,scattered clouds
153,Leningradskiy,RU,69.3833,178.4167,-9.53,78,100,10.18,overcast clouds
154,Koumac,NC,-20.5667,164.2833,81.99,66,28,6.29,scattered clouds
155,Victoria,HK,22.2855,114.1577,57.25,91,100,4.0,overcast clouds
156,Makat,KZ,47.6469,53.3463,21.94,71,6,13.42,clear sky
157,La Ronge,CA,55.1001,-105.2842,8.85,85,20,9.22,few clouds
158,Rantepao,ID,-2.9701,119.8978,70.54,96,100,1.68,overcast clouds
159,Launceston,AU,-41.45,147.1667,62.35,56,75,25.32,broken clouds
160,Batagay,RU,67.6333,134.6333,-39.51,99,96,2.75,overcast clouds
161,Bayan,CN,46.0833,127.4,0.43,76,100,14.9,overcast clouds
162,New Norfolk,AU,-42.7826,147.0587,56.71,66,90,5.99,overcast clouds
163,Lebu,CL,-37.6167,-73.65,58.73,88,89,14.67,overcast clouds
164,Ponta Do Sol,PT,32.6667,-17.1,70.72,89,97,15.23,light rain
165,Viedma,AR,-40.8135,-62.9967,63.73,56,5,13.11,clear sky
166,Lalmohan,BD,22.3384,90.7419,70.02,56,2,6.62,clear sky
167,Alexandria,EG,31.2156,29.9553,59.54,63,39,10.8,scattered clouds
168,Stephenville,US,32.2207,-98.2023,57.33,50,0,0.0,clear sky
169,Atherton,GB,53.5237,-2.4935,24.44,81,6,1.99,clear sky
170,Kodinsk,RU,58.6881,99.1844,-30.51,100,94,1.7,overcast clouds
171,Bambous Virieux,MU,-20.3428,57.7575,77.22,78,40,9.22,scattered clouds
172,Okhotsk,RU,59.3833,143.3,-18.44,79,100,18.63,overcast clouds
173,Majalgaon,IN,19.15,76.2333,71.26,81,82,4.9,broken clouds
174,Sechura,PE,-5.5569,-80.8222,69.69,76,100,5.44,overcast clouds
175,Arzgir,RU,45.3728,44.2206,40.86,90,100,10.92,overcast clouds
176,Henties Bay,NA,-22.116,14.2845,60.31,95,32,2.44,scattered clouds
177,Lorengau,PG,-2.0226,147.2712,85.21,69,99,7.25,overcast clouds
178,Sao Desiderio,BR,-12.3633,-44.9733,72.05,89,99,2.64,overcast clouds
179,Yumen,CN,40.2833,97.2,19.18,43,0,29.19,clear sky
180,Cap Malheureux,MU,-19.9842,57.6142,77.47,70,89,4.0,overcast clouds
181,Dubbo,AU,-32.25,148.6167,66.33,30,1,17.27,clear sky
182,Olafsvik,IS,64.8945,-23.7142,27.59,65,68,8.43,light snow
183,Inirida,CO,3.8653,-67.9239,72.16,96,91,1.68,overcast clouds
184,Port Lincoln,AU,-34.7333,135.8667,60.69,51,38,15.41,scattered clouds
185,Taoudenni,ML,22.6783,-3.9836,76.01,26,0,7.05,clear sky
186,Edinburg,GB,55.9521,-3.1965,30.11,88,0,1.99,clear sky
187,Tezu,IN,27.9167,96.1667,68.09,45,48,0.56,scattered clouds
188,Nemuro,JP,43.3236,145.575,33.85,51,100,11.61,overcast clouds
189,Along,IN,28.1667,94.7667,58.19,67,72,0.89,broken clouds
190,Svetlaya,RU,46.5389,138.3297,6.84,53,85,10.18,overcast clouds
191,Ilulissat,GL,69.2167,-51.1,14.49,92,100,6.8,overcast clouds
192,Anloga,GH,5.7947,0.8973,80.4,82,95,8.5,overcast clouds
193,Sambava,MG,-14.2667,50.1667,72.75,84,0,8.59,clear sky
194,East London,ZA,-33.0153,27.9116,70.81,93,52,14.0,broken clouds
195,Suntar,RU,62.1444,117.6319,-12.08,97,100,6.44,overcast clouds
196,Chiredzi,ZW,-21.05,31.6667,71.01,80,32,2.62,scattered clouds
197,Asau,RO,46.4333,26.4,20.32,78,34,3.8,scattered clouds
198,Mehran,IR,33.1222,46.1646,61.68,59,94,7.85,overcast clouds
199,Bontang,ID,0.1333,117.5,76.66,90,100,3.56,light rain
200,Terrace,CA,54.5163,-128.6035,28.31,86,100,0.0,overcast clouds
201,Sahaswan,IN,28.0833,78.75,56.55,41,0,8.59,clear sky
202,Talnakh,RU,69.4865,88.3972,-18.8,98,100,10.16,overcast clouds
203,Nador,MA,35.174,-2.9287,73.47,64,0,5.75,clear sky
204,Micheweni,TZ,-4.9667,39.8333,78.39,82,8,5.01,light rain
205,Margate,GB,51.3813,1.3862,36.7,69,100,1.99,light rain
206,Isangel,VU,-19.55,169.2667,82.53,56,1,6.64,clear sky
207,San Patricio,US,28.017,-97.5169,75.29,81,95,11.74,overcast clouds
208,Komsomolskiy,UZ,40.4272,71.7189,23.72,93,100,2.3,fog
209,Nishihara,JP,26.1842,127.7558,63.68,68,75,13.8,broken clouds
210,Camana,PE,-16.6228,-72.7111,71.28,82,100,3.62,overcast clouds
211,Sao Joao Do Paraiso,BR,-15.3136,-42.0144,69.19,91,100,8.97,light rain
212,Umarkot,PK,25.3616,69.7362,61.75,32,0,9.91,clear sky
213,Okha,RU,53.5739,142.9478,15.76,88,100,0.94,overcast clouds
214,Zunyi,CN,27.6867,106.9072,43.02,35,80,3.78,broken clouds
215,Constitucion,CL,-35.3333,-72.4167,57.51,88,1,12.88,clear sky
216,Husavik,IS,66.0449,-17.3389,13.26,77,100,10.8,overcast clouds
217,Melville,US,40.7934,-73.4151,35.55,66,0,3.0,clear sky
218,Dikson,RU,73.5069,80.5464,8.42,91,100,18.63,overcast clouds
219,Salinopolis,BR,-0.6136,-47.3561,78.76,82,33,9.19,scattered clouds
220,Kailua,US,21.4022,-157.7394,80.58,62,40,11.5,scattered clouds
221,Anadyr,RU,64.75,177.4833,0.48,84,100,22.37,heavy shower snow
222,Port Blair,IN,11.6667,92.75,82.44,74,75,5.75,broken clouds
223,Naruto,JP,34.1833,134.6167,47.44,61,75,24.16,broken clouds
224,Ahipara,NZ,-35.1667,173.1667,65.82,97,100,6.82,overcast clouds
225,Marau,BR,-28.4492,-52.2,55.85,75,0,4.94,clear sky
226,Candelaria,PH,13.9311,121.4233,82.38,73,89,7.81,overcast clouds
227,Pochutla,MX,15.7432,-96.4661,76.82,87,89,3.94,overcast clouds
228,Provideniya,RU,64.3833,-173.3,6.91,61,0,4.47,clear sky
229,Severo-Yeniseyskiy,RU,60.3725,93.0408,-32.98,99,26,2.98,scattered clouds
230,Chabahar,IR,25.2919,60.643,70.45,48,0,5.86,clear sky
231,Gwadar,PK,25.1216,62.3254,70.83,38,0,6.42,clear sky
232,Bengkulu,ID,-3.8004,102.2655,76.35,88,99,5.21,overcast clouds
233,Daniel Flores,CR,9.3355,-83.6694,68.77,92,50,3.76,scattered clouds
234,Banon,ES,40.8382,-1.1909,54.66,94,0,3.44,clear sky
