City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
485,Manakara,MG,72.61,light rain,-22.1333,48.0167,Hotel H1
502,Amahai,ID,85.68,few clouds,-3.3333,128.9167,No hotel found
503,Hambantota,LK,73.74,few clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
505,Nhulunbuy,AU,92.01,scattered clouds,-12.2333,136.7667,No hotel found
507,Padre Paraiso,BR,70.52,moderate rain,-17.0742,-41.4844,No hotel found
510,Byron Bay,AU,84.7,broken clouds,-28.65,153.6167,Lord Byron Resort
512,San Rafael Del Sur,NI,77.97,overcast clouds,11.8485,-86.4384,No hotel found
513,Sakete,BJ,74.84,light rain,6.7362,2.6587,No hotel found
515,Praya,CV,75.74,clear sky,14.9215,-23.5087,Casa Sodadi
520,San Rafael,AR,79.93,clear sky,-34.6177,-68.3301,Hotel Regional
523,Black River,JM,74.19,scattered clouds,18.0264,-77.8487,No hotel found
525,Felipe Carrillo Puerto,MX,70.74,broken clouds,19.5833,-88.05,Hotel María José
529,Mabaruma,GY,72.27,broken clouds,8.2,-59.7833,Monty Brooms Hotel
530,Namatanai,PG,83.91,light rain,-3.6667,152.4333,Namatanai Hotel
538,Phan Thiet,VN,76.51,overcast clouds,10.9333,108.1,Khách sạn Cà Ty
543,Lima,PE,70.9,few clouds,-12.0432,-77.0282,Hotel Peach Garden
550,Jacareacanga,BR,71.13,light rain,-6.2222,-57.7528,Hotel São Cristovão
554,Sabang,ID,79.66,moderate rain,5.8933,95.3214,Sabang Hill
555,Cartagena,CO,78.42,clear sky,10.3997,-75.5144,Hotel Bellamar
556,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,Hotel Forum
557,Santa Cruz Cabralia,BR,79.03,clear sky,-16.2781,-39.0247,Campo Bahia Resort
558,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
565,Pipri,IN,72.18,haze,19.8,75.5333,No hotel found
567,Ugoofaaru,MV,80.65,overcast clouds,5.6667,73.0,No hotel found
574,Buritis,BR,71.58,overcast clouds,-15.6178,-46.4233,No hotel found
579,Pandan,PH,81.73,overcast clouds,14.0453,124.1694,No hotel found
584,Trairi,BR,78.39,broken clouds,-3.2778,-39.2689,No hotel found
593,Palkan,PH,77.22,overcast clouds,6.2964,125.0317,No hotel found
594,Mitsamiouli,KM,79.63,light rain,-11.3847,43.2844,Hotel le Paradis
596,Gambela,ET,74.8,few clouds,8.25,34.5833,Grand Hotel
601,Port Moresby,PG,87.22,scattered clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
602,Galveston,US,76.17,overcast clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
604,Buala,SB,83.21,moderate rain,-8.145,159.5921,No hotel found
606,Merauke,ID,79.34,overcast clouds,-8.4667,140.3333,No hotel found
607,Maumere,ID,86.02,broken clouds,-8.6199,122.2111,Bogor
615,Santa Rosa,PH,86.11,scattered clouds,14.3122,121.1114,JARS RESORT
619,Houma,US,73.99,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
633,Sibolga,ID,74.25,light rain,1.7427,98.7792,Hotel Prima Indah
636,Mount Isa,AU,89.37,scattered clouds,-20.7333,139.5,Ibis Styles
638,Presidencia Roque Saenz Pena,AR,71.55,clear sky,-26.7852,-60.4388,Hotel Presidente
641,Vallenar,CL,71.94,clear sky,-28.5708,-70.7581,Hotel del Marqués
643,Ternate,ID,83.21,broken clouds,0.8,127.4,Boulivard ternate
653,Acapulco,MX,76.1,scattered clouds,16.8634,-99.8901,Hotel del Valle
655,Puerto Escondido,MX,76.96,scattered clouds,15.85,-97.0667,Hotel Barlovento
657,Aden,YE,77.29,scattered clouds,12.7794,45.0367,فندق قصر الجزيرة
